source,run,time,gender_name,index_id,count,age,age2,age3,gender,ses,fat,protein,sodium,energy,pa,bmi,alzheimer,asthma,colorectalcancer,diabetes,lowbackpain,osteoarthritisknee,disability_weight,deaths,migrations,normal_weight,over_weight,obese_weight,above_weight,yll,yld,daly
baseline,1,2010,female,30,400,30,900,27000,0,-0.0169476,166.374,120.541,4.1865,3501.66,3958.64,26.5791,0,0.0975,0,0,0.115,0.0025,0.132088,0,0,0.3725,0.425,0.2025,0.6275,0,13208.8,13208.8
baseline,1,2010,male,31,381,31,961,29791,1,-0.0546649,215.832,146.874,4.53786,4833.47,4512.63,27.3745,0,0.0603675,0,0.00262467,0.0656168,0.00262467,0.0890082,0,0,0.278215,0.48294,0.238845,0.721785,0,8900.82,8900.82
baseline,1,2010,female,31,389,31,961,29791,0,0.0690145,165.613,120.038,4.16852,3486.53,3759.25,25.9701,0,0.0745501,0,0.0102828,0.138817,0.00771208,0.132088,0,0,0.449871,0.390746,0.159383,0.550129,0,13208.8,13208.8
baseline,1,2010,male,32,381,32,1024,32768,1,-0.0155929,215.435,146.357,4.51324,4816.11,4335.6,27.1224,0,0.0472441,0,0.00262467,0.0918635,0.00787402,0.0890082,0,0,0.304462,0.461942,0.233596,0.695538,0,8900.82,8900.82
baseline,1,2010,female,32,389,32,1024,32768,0,0.107898,164.48,119.368,4.14083,3465.99,3594.26,25.8622,0,0.0796915,0,0.00514139,0.11054,0.00514139,0.132088,0,0,0.429306,0.416452,0.154242,0.570694,0,13208.8,13208.8
baseline,1,2010,male,33,380,33,1089,35937,1,0.0151183,214.995,145.742,4.49428,4800.38,4168.49,26.7516,0,0.0526316,0,0.0131579,0.0973684,0.0105263,0.0890082,0,0,0.355263,0.439474,0.205263,0.644737,0,8900.82,8900.82
baseline,1,2010,female,33,385,33,1089,35937,0,-0.0469598,163.181,118.599,4.10591,3442.7,3457.79,26.8237,0,0.0753247,0,0.012987,0.106494,0.00779221,0.132088,0,0,0.34026,0.472727,0.187013,0.65974,0,13208.8,13208.8
baseline,1,2010,male,34,382,34,1156,39304,1,-0.00845049,214.385,145.05,4.48003,4784.77,4008.26,27.0154,0,0.0602094,0,0.013089,0.0732984,0.0078534,0.0890082,0,0,0.332461,0.447644,0.219895,0.667539,0,8900.82,8900.82
baseline,1,2010,female,34,386,34,1156,39304,0,0.0213165,162.007,117.868,4.07031,3420.9,3337.35,25.8791,0,0.0829016,0,0.0129534,0.145078,0.0129534,0.132088,0,0,0.42228,0.432642,0.145078,0.57772,0,13208.8,13208.8
baseline,1,2010,male,35,402,35,1225,42875,1,0.0346375,213.498,144.309,4.46717,4766.98,3855.67,27.3698,0,0.0547264,0,0.00995025,0.0870647,0,0.0973354,0,0,0.288557,0.467662,0.243781,0.711443,0,9733.54,9733.54
baseline,1,2010,female,35,405,35,1225,42875,0,0.071089,161.167,117.295,4.0411,3404.08,3219.8,27.1092,0,0.0839506,0,0.00987654,0.140741,0.017284,0.143299,0,0,0.303704,0.471605,0.224691,0.696296,0,14329.9,14329.9
