Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,EnergyIntake,inc_quintile,PhysicalActivity,BMR,steadystate,ratio
45,0,355.030947760505,127.699515776483,108.009758831439,3.8494448852976,50.9642905999885,22.3546448120489,47.0343899093889,148.05982778718,87.9025601469805,25.5174606698306,172.23806863666,276.115867855018,53.8000734020366,95.0181345278199,32.8124260480931,1248.07794832776,16.1549722176814,99.5390134664383,1.66922238186482,12.6682018693189,20.1307046572749,175.6115306,86.87008388,3142.37340095704,5,1.79666429239617,1749.0042042112,3142.37340095704,1.01389318737942
46,0,354.459400910329,127.55629282449,107.890282638665,3.84343269125769,50.8455970918545,22.2882312771935,47.0373479454083,148.126685458428,87.6133547409026,25.5116128165275,173.263551627007,277.953550559896,54.063596520106,95.403580379574,32.8969546316703,1249.01895599393,16.1428831775769,99.3387854419723,1.67132494020646,12.6515644554805,19.9930662305518,175.521108,86.987954,3137.35683323024,5,1.79822489444665,1744.69658546,3137.35683323024,1.01443910727034
47,0,353.793815376719,127.365369224632,107.735069660127,3.83552731222901,50.7038369772083,22.212457953155,47.0247150209334,148.194146422551,87.3175059638088,25.5004738775817,174.350052510444,279.796314753151,54.3240984517895,95.74611294547,33.0188474866042,1249.92632584584,16.1254922499364,99.1372934540315,1.67280423304399,12.6306307325514,19.8358219002887,175.4277558,87.09009445,3131.25461647109,5,1.79935081835213,1740.2135173055,3131.25461647109,1.01479728774083
48,0,353.015125162479,127.120707908681,107.537746909619,3.82555154313407,50.5366309280055,22.126528548249,46.9946415053019,148.251726781255,87.0112915160824,25.4823584910434,175.491359035677,281.623613829602,54.5789466284164,96.0348845289192,33.1752727185753,1250.69106208012,16.1019093834089,98.9306148542813,1.67354905759722,12.6048292160394,19.6636994487067,175.3297121,87.17256314,3123.94375560747,5,1.80002043445973,1735.5046063936,3123.94375560747,1.01497003384036
49,0,352.107800211707,126.8177637926,107.29289546356,3.81337354596382,50.3422592006198,22.0298882663496,46.9458173550296,148.289799951102,86.692148888153,25.455724238268,176.679934187556,283.414457526253,54.8258909145839,96.2603040032978,33.3625360784802,1251.2103470626,16.0713586990157,98.7151917999368,1.6734623951585,12.5736852085673,19.4816215694604,175.2253821,87.23246405,3115.33400782069,5,1.80021859802491,1730.5309539845,3115.33400782069,1.01496533906055
50,0,351.060571902123,126.453717707717,106.996292856668,3.79891349238326,50.119762491249,21.9222687175816,46.8775371738704,148.299994731524,86.3588584214433,25.4192384746248,177.907288306863,285.148207113535,55.0631691323646,96.4142815301483,33.576299007244,1251.39140954367,16.0332128797225,98.487951216394,1.67246552063629,12.5368455007801,19.2944991500809,175.1134676,87.26822823,3105.37241245517,5,1.79993544305765,1725.2687725177,3105.37241245517,1.01479634027255
51,0,349.866631639983,126.027503746076,106.644998337046,3.78214423214521,49.8689575812535,21.8036975233973,46.7896890568738,148.275395315863,86.0115752546908,25.3718124479244,179.164202346882,286.805076195133,55.2895257943222,96.4903186042635,33.8117781098734,1251.15376624972,15.9870064871948,98.2463110232141,1.67049977064632,12.4940854851622,19.1070024967362,174.9930725,87.27967758,3094.04307109994,5,1.7991648846614,1719.7106821492,3094.04307109994,1.01448058827452
52,0,348.523354497581,125.539650670799,106.237295591585,3.76308668080379,49.590376042565,21.6744758890605,46.6826757636161,148.210554767664,85.6517222727915,25.3126048902844,180.44080349942,288.366338402274,55.5041496961848,96.4834599976844,34.0639179727487,1250.42991292695,15.9324301075393,97.9880889319785,1.6675261240343,12.4453004517237,18.923324977842,174.8637734,87.26790029,3081.36273123875,5,1.79790292542312,1713.8649076471,3081.36273123875,1.01403916148748
53,0,347.031672636535,124.991986113853,105.772530138261,3.74180143584192,49.2851455748487,21.535132166893,46.557287203354,148.101363462715,85.2817747648335,25.2410023926561,181.72652814921,289.814302682727,55.7065491364125,96.3901459478298,34.327535571957,1249.16479753041,15.8693104918185,97.711348257453,1.66352310832689,12.3904854317324,18.746956310707,174.72565,87.2349963,3067.37338029881,5,1.79614587943644,1707.752925537,3067.37338029881,1.013495673349
54,0,345.395247716863,124.387262520157,105.250886521701,3.71837839652599,48.9548376534525,21.386361108862,46.4145470029286,147.944825300267,84.9049743341996,25.1565857262357,183.010021682019,291.132143662355,55.8963895318565,96.2080109565331,34.5974380750282,1247.31450843237,15.7975829752409,97.4142202231755,1.65848368593354,12.3297088368784,18.5804820045286,174.5792694,87.18376141,3052.13327366737,5,1.79388864064637,1701.4062102359,3052.13327366737,1.01287521363755
