Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
32,1,285.872832954257,103.746065712363,84.74477972413,3.02630933602157,1949.04883548815,42.0546561798247,18.0930010304649,37.211414703597,122.535511329639,86.0987206876407,21.8278760111732,131.57610567512,217.749759779357,41.2591501304657,68.4578051662497,28.1901959851101,1014.66870273233,12.8024312129187,96.5553621690305,1.34961526232543,9.89126527999037,8.62413009235364,162.7220995,71.59010125,1.751752099,1413.7582333625,2476.55395277129,1.27064746027824,711.0183784
33,1,284.837021234992,103.531195555466,84.7707168460029,3.01662406882556,1953.48594998176,41.9474927817297,18.0631561423194,37.1559429119796,122.114066906297,85.6884592847404,21.8408769846071,132.130680039734,218.039114883432,41.2927815177903,68.4724846752916,28.119563937965,1011.73914894285,12.7973202577443,96.3479029113917,1.35066778138395,9.90038969580948,8.64962276692544,162.6975858,71.85353559,1.750676525,1411.3167317941,2470.75907169165,1.26479490252526,716.8578108
34,1,283.794032769624,103.297976982423,84.7731732937012,3.00698195526914,1958.36624476574,41.8285341848035,18.0287689360273,37.1007972464531,121.701386145255,85.3068140547751,21.8436618934642,132.658672500454,218.343335260495,41.3140453895241,68.5173167270579,28.0309037681924,1008.89100899269,12.7885282556071,96.142571454914,1.35127766232825,9.90609026085078,8.66006077544766,162.6733715,72.09813458,1.749549513,1408.6889363292,2464.57104252324,1.25848321227476,722.6513678
35,1,282.751999930462,103.050011694232,84.7544990364563,2.99760137727949,1963.72109661174,41.6992802666675,17.9904520538971,37.0470195737616,121.300027464951,84.9571321436352,21.8366465354987,133.165128943967,218.675939272805,41.3281223446984,68.5951211627943,27.9312645031318,1006.14906669127,12.7763046704035,95.9395119255327,1.35148658588588,9.90856541177727,8.65701971636702,162.6484948,72.32807034,1.748386695,1405.9105151966,2458.07523913033,1.25174356143118,728.3501499
36,1,281.717619130059,102.790456046997,84.7169935279899,2.98866648692851,1969.56814995561,41.5610793216191,17.9487036672839,36.9954718246686,120.912107689515,84.6411981738806,21.8203867044473,133.655817531999,219.049353895034,41.340288772978,68.7075094896113,27.8275402618982,1003.53798376951,12.7609371045465,95.7388267601896,1.35133824374102,9.90804493333323,8.6424477750243,162.6218364,72.54707218,1.747205415,1403.0117285782,2451.34968948034,1.24461277947432,733.9020199
37,1,280.695633020659,102.521770773247,84.6626529526483,2.98031783088594,1975.91222586587,41.4150262061387,17.9038663855735,36.9467517495134,120.539123309176,84.3591400500539,21.7955140240659,134.136776505422,219.474175795319,41.3556029204567,68.854721994276,27.7261282289543,1001.08002610101,12.7427155799728,95.5404525052368,1.35087421088713,9.90475830839347,8.61851573066799,162.5922414,72.75803393,1.746024128,1400.0142677107,2444.45869096713,1.23712918973207,739.2519093
38,1,279.688568672559,102.245573981083,84.5929853036987,2.97264672645833,1982.7466840096,41.2619030632669,17.8561073587594,36.9011412426168,120.18186839801,84.1094575597245,21.7626847455359,134.613953337376,219.958653111182,41.378635839469,69.0355431589365,27.6326493072698,998.793384327397,12.72190493354,95.3440950397629,1.35013079656675,9.89890968371341,8.58747484006335,162.5586373,72.96275934,1.744861709,1396.9294489316,2437.44870561522,1.22932935673159,744.3423132
39,1,278.696699488291,101.962588644422,84.5088933797752,2.96569308963683,1990.05512483795,41.1021590905428,17.8054173606091,36.8585843499746,119.84043495925,83.8891577112574,21.7225419136739,135.09293716734,220.508379005682,41.4132565758454,69.2472894696534,27.5517405997093,996.691032116654,12.698725419523,95.1492136744522,1.34913690233965,9.89065985259724,8.5515296510933,162.5201305,73.16184787,1.743736676,1393.7576758463,2430.34637682971,1.2212457567112,749.1140057
40,1,277.718191904323,101.672671841015,84.4106224719583,2.95944628586453,1997.81330574622,40.9359240841623,17.7516258114668,36.8186911393201,119.514279253461,83.6939768335471,21.6756904599339,135.578779933203,221.126176562748,41.4624767894561,69.4858624418648,27.4869233513788,994.780052892291,12.6733412007158,94.9550425551509,1.34791286619952,9.88011525585432,8.51273068193175,162.4760708,73.35471066,1.742666368,1390.4890019934,2423.15841884778,1.21290533598818,753.5069956
41,1,276.749386991997,101.374907591973,84.2977644069008,2.95384841340214,2005.99114006834,40.7630481935074,17.694427706118,36.7807620416438,119.202333458863,83.5186647565896,21.6226834432589,136.075892581877,221.812139897355,41.528354899293,69.7458571378082,27.4405442531747,993.061332280555,12.6458557019449,94.7606350514737,1.34647018960479,9.86732336193056,8.47288953873695,162.4260798,73.53969799,1.741666081,1387.1045816701,2415.87300069451,1.2043288489361,757.461722
