"Age","Gender","FoodCarbohydrate","FoodFat","FoodProtein","FoodSodium","FoodMonounsaturatedFat","FoodPolyunsaturatedFattyAcid","FoodSaturatedFat","FoodTotalSugar","FoodAddedSugar","FoodFibre","FoodFruit","FoodVegetable","FoodRedMeat","FoodProcessedMeat","FoodLegume","FoodCalcium","FoodIron","FoodVitaminC","FoodCopper","FoodZinc","FoodAlcohol","PhysicalActivity"
24,1,283.352001055834,101.608735745457,80.8453646445919,2.95503604460009,41.0607378839399,17.7492693733873,36.4067548216604,120.920442240479,84.7287387177251,20.8707049478029,122.171179075384,210.026741477904,38.5658519925642,67.1698143034375,27.4414688570593,1005.09256072483,12.3284336621426,94.6840253804849,1.28788941128315,9.3669656429403,17.4929408615061,1.70278797074811
25,1,282.507179292313,101.600814825119,80.9955556551898,2.95085113525156,41.0702912965708,17.7667353282405,36.3750783922386,120.453614917726,84.3754105401845,20.9268926324725,122.800961049473,210.470196088178,38.7377120008773,67.0485755501304,27.5983071135291,1000.86553310406,12.3382587338465,94.3599422286462,1.29159964326012,9.38949147873953,17.4589801923247,1.70210627748689
26,1,281.656688883996,101.580665438063,81.1352591684026,2.94577850856986,41.0721258418973,17.7811490550116,36.3438550720479,119.999642662581,84.0114689707498,20.9814440214923,123.458267653879,210.893283898043,38.9012304788911,66.9271395227688,27.7155669626318,996.840461739514,12.3481536285064,94.0574734740466,1.29509870133997,9.4119726682846,17.4148908091883,1.70137903149567
27,1,280.789975342006,101.542556243067,81.2589640411042,2.93982286314241,41.0638366561424,17.7913678824125,36.3114735047161,119.554722771736,83.6397732506136,21.0320990664012,124.130493607425,211.288887645535,39.0535932452989,66.8084529124277,27.7906667607587,992.963261396048,12.3570112086332,93.7705377162964,1.29827839684635,9.43349692153366,17.356848473341,1.70060854604596
28,1,279.900446222231,101.482530358261,81.362373064247,2.93304367738764,41.0437427875308,17.7965832071285,36.2768601725764,119.116636371731,83.2642389534746,21.0769289325416,124.807000415421,211.654460213018,39.1929991847013,66.6963890760189,27.8229921108627,989.192873645383,12.3639041929161,93.4942434270131,1.30105305648727,9.45328772674753,17.2818351311027,1.6997978601611
29,1,278.985552499891,101.398470274294,81.4425565931138,2.9255528695247,41.0109129824456,17.7963259259636,36.239499500739,118.684786832369,82.8897014197721,21.1143995418361,125.479399556416,211.992156685551,39.3187640738703,66.5956301268362,27.8139474535273,985.502675612394,12.3681172890644,93.2249978180576,1.30336261378891,9.47073257491073,17.1877730842842,1.69895070942851
30,1,278.046447568338,101.289988379361,81.497972543194,2.91750732847781,40.96512075874,17.7904402637848,36.1993969039405,118.260061853733,82.5216528218047,21.1433996540733,126.141629582117,212.308539552558,39.4313277499731,66.5114449698588,27.7668677381168,981.880407328973,12.3691589048022,92.9604788889104,1.30517342726548,9.4853953063216,17.0735965187218,1.69807147410359
31,1,277.087282905501,101.158162148984,81.5283565624553,2.90909704471643,40.9067364110471,17.7790304145469,36.1569911783865,117.844539722958,82.1658790698613,21.1632334527528,126.789835156935,212.613893931917,39.5321655372624,66.4493808877489,27.6867970517461,978.326727299843,12.3667526237285,92.699485339471,1.30647682344413,9.49701236909344,16.9392570423283,1.69716510430067
32,1,276.114250350999,101.005154605188,81.5345058272023,2.9005302508158,40.8365732927949,17.7623877794475,36.1130298525666,117.441088514705,81.8280393693076,21.1735827261349,127.42208619904,212.921242415953,39.6236171223378,66.4148990132012,27.5801559470685,974.852699804809,12.3608116733268,92.441696912579,1.30728572687265,9.50547506058938,16.7856674330098,1.69623702279423
33,1,275.134508824147,100.833774579528,81.5179908276746,2.89201724664839,40.7557098334425,17.7409092424182,36.0684247029293,117.052913065397,81.5132375217197,21.1744468818431,128.03799268016,213.245180095607,39.7086549555468,66.4129893227962,27.4543300863739,971.47661593329,12.3514011630142,92.1873858099048,1.30762991491988,9.51080133821067,16.6145931046112,1.69529300671017
